Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Staff Page Pic URL
ThrustyZol,@CoachZOL,he/him,"TO/Streamer/Creator 'Casual Fight Fri' for SamSho Enhanced - Series X|S w/ @XBoxFightersFGC. FG's awoke a passion to stream entertaining, Gluten-free content (NO profanity/racial slurs/threats). Playing FG's since ‘Karate Champ’ A Brazilian Jiu-Jitsu Coach/MMA cornerman/Model/Stunts/Actor. Never work a day; Do what u Love for a living!",https://twitter.com/@CoachZOL,https://dl.airtable.com/.attachments/56ac5437d7394095b33d80ad6890e3b1/280bb172/osFeCaTnS3i0HKDTF1DL
Tipzntrix,@Tipzntrix,he/him,English riichi mahjong commentator and streamer!  Also local EN server ranked climber!,https://www.twitch.tv/tipzntrix,https://dl.airtable.com/.attachments/878c0926d452adda87163d9b01e13b5d/64560725/Tipzntrix.png
"TJ ""Henry"" Yoshi",@tj99er,"he/him,they/them",,,
TNTBlowzUp,@TNTBlowzUp,he/him,,,
Toast Rider,@tz_toast_rider,he/him,"Just a dad with a love for interesting and off-beat fighting games, as well as a TO and streamer. I run multiple monthly events for Samurai Shodown VI through the Slamurai Jamdown series and the Super Slash Bros series with AlexAlchemy.

I firmly believe the most important letter in FGC is the C - this community, the events we make, and the moments and memories we share are everything.",https://twitter.com/@tz_toast_rider,
tobemorecrazy,@tmnt_tf,he/him,Longtime TMNT Tournament Fighter community member that founded the Super Fighting Discord and assists with updates to console fighters from the 90's.,http://newchallenger.net,https://dl.airtable.com/.attachments/41c709a20c272f8062292dbea1f1ea00/16b6eb45/mu8ftFRKS125KqCLuRVo
Tohloop,@andrewoyk,,dumdum,https://twitter.com/@andrewoyk,
tommo,@tommoyang,he/him,oce bbcf supporter and a big fan of somehow always picking the most complicated characters to play,https://twitter.com/tommoyang,https://dl.airtable.com/.attachments/1f517316e8d31db5bedf8b98e4b67f8d/2afbbce1/HGhdGfEzT5y516gNsUP5
Too,@2TTTTTTTTTTTTT,any,,,
Trapito,@Trapito928,he/him,"I'm the founder of Melty Blood Costa Rica! Pretty much just trying to help other communities to see how I can improve mine. Also an EDM and J-POP, and of course Frasi enthusiast. 

Please do not hesitate to contact me if you want to (here's my discord: Trapito#2116).",Trapito,https://dl.airtable.com/.attachments/b8a04944ad255d8c5b8bce51606a753d/cfcc85cc/oM0En080StWwgJUzj1Vw
Trash Boat,@itz_amram,he/him,"Hobbyist, rather a jack of all trades than a master of one.",https://twitter.com/@itz_amram,
TrashTierHuman,@TrashTierHuman,,,,
Trashyslime,@Thetrashyslime,she/her,Freelance graphics designer and GBVS player,https://twitter.com/@Thetrashyslime,https://dl.airtable.com/.attachments/8047651ba8091ef713ad7982df348692/5a4e9678/Gr15WqPRT6uXClJ2fUay
TTTTTsd,@TTTTTsd_,any,,,
ultrayoshi,@ultrayoshi115,he/him,,,
Vais,@Vais__,he/him,,,
VFC | Aizawa Alcanot,@jinzou77,he/him,,,
VGD,@airdasher_sea,he/him,"VGD here, I'm the Head TO of Airdasher Singapore & Airdasher SEA. Here to help bring the SouthEastAsian anime/kusoge FGC together. SEA-food tour guide, I'll probably be the one to take you to eat. 
Please play me in UMVC3/MVCI. Mike Haggar’s no.1 office boy. ","None for now please, don't link to ADSEA",https://dl.airtable.com/.attachments/abefcf6c81ad63e9dba2aff834ecf859/1ec90168/kY3lA97SQAqeoLiuGbOb
Vincent,@auvicity,he/him,,,
Virtua Kazama,@VirtuaKazama,he/him,Host of Virtua Fighter Takeover. We'll show you all what #VFStrongStyle is all about!,https://twitter.com/VirtuaKazama,https://dl.airtable.com/.attachments/045d252fc108276e97c07384caa748ff/f7577465/ISEQd1oXTfyv9YGU7jvw
ViviMayoi,@ViviMayoi,she/her,"Founder of the Snail's Domain community! I'm a tournament organizer, streamer and commentator focusing on Melty Blood. I play games pretty alright sometimes too!!",https://www.snaildom.com,https://dl.airtable.com/.attachments/68ec519d6b70ada884cea67851e44033/1cc89d36/ViviMayoi.png
Vixy,@vvvvixy,she/her,"Fighting game Caster, TO & Streamer. I enjoy everything fighting games and love to bring some good hype and entertainment on the mic!

Ask me about everything Them's Fightin' Herds!",https://twitter.com/vvvvixy,https://dl.airtable.com/.attachments/ad833de649481eb18a80c53cc31d5326/70c5f979/OxLdrsTbSpyAdcgS3nng
VMP_KyleW,@VMP_KyleW,he/him,,,
VWatchDog,@vitorwatchdog,he/him,"TO of the Brazilian community of Garou: MOTW.
I love fighting games, anime and everything FGC covers.
Hope to help with whatever it takes, with everyone's collaboration we can make a broader community ;)",https://twitter.com/MOTWBR,https://dl.airtable.com/.attachments/6a132942bf142f633398480f283087e7/76e53640/65tv3pQ8SrWQ7xOWUz0b
Vynira Snowy,@vynirasnowy,he/him,Loves Blazblue and Guilty Gear and supporting their communities,https://twitter.com/@vynirasnowy,https://dl.airtable.com/.attachments/ae92fda4cf63970aa9df19c9d35c12bf/9d4572f5/nRtrNVULRE6hlrGm7TQq
WALKMAN_04,@WALKMAN_04,he/him,Former Splatoon top player turned commentator and tournament organizer who is looking to grow the Splatoon community for both competitive and casual players.,https://twitter.com/WALKMAN_04,
Wattmelon,@Wattmelon,"he/him,they/them",Just a modder in the Rivals of Aether Workshop community. I made a Gay Fridge into a fighting game character lol.,https://twitter.com/@Wattmelon,https://dl.airtable.com/.attachments/e797fb986e175768c84b69216f58c63a/db805579/6aWf8huyQCWuXpGEeQEO
Web Booby Cop,@WhoresAndCheese,,,,
Weebmaru,@Weebmaru1,he/him,I play fighting games every now and then,https://twitter.com/@Weebmaru1,
Will,@CDV_Will,he/him,,,
Winter Mellow,@MellowMsia,he/him,,,
Winty,@wintydunno,any,"I thought I was good at commentary until I watched the VOD and realized how many times I respond to what my co-commentator says with ""Yeah"" before saying anything of value.",https://twitter.com/wintydunno,
Wondaland,@wondaland65,he/him,I am a casual player who got into fighting games via Samurai Shodown (2019).,https://twitter.com/wondaland65,
Xenono,@xenon_unon,he/him,UNIB 2 and TL solo Koha buff Copium,https://twitter.com/-,https://dl.airtable.com/.attachments/b113f312411539961bba608774844aa9/f0a9f331/fX4us9GTfuh2gD51e8Ew
YandereGogeta,@YandereGogeta,he/him,,,
Yang,@Yang23__,she/her,Play ABK,https://twitter.com/@Yang23__,https://dl.airtable.com/.attachments/697da0c9ae81d73873200de95aa985f1/ab26f00c/7wz24rlhQ3iyoJZ55DEQ
YFDHippo,,he/him,"Play Ultra Fight Da ! Kyanta 2, it's free to play on Steam!",https://www.youtube.com/channel/UCGviE_344QODix9h0IveeCA,https://dl.airtable.com/.attachments/2e6bcd6d956f9ada43446da4ddd859a6/8052e5c9/yfdhippo.png
YumMorrigan,@YumMorrigan,she/her,Lover of Guilty Gear and an Elphelt player (I'm sorry/I'm not sorry),https://twitter.com/@YumMorrigan,https://dl.airtable.com/.attachments/451d6aa972131000fefcffb115b95035/d0142673/7JKb2VRb1VJSsV6DA5gD
Yxazel,@Yxazel1322,"he/him,any",,,https://dl.airtable.com/.attachments/13424bfeae476d98ce376d335365c58f/66d91ad3/Yxazel.png
Zate,@Zatefgc,he/him,,,
ZelRose,@ZeludeRose,"she/her,they/them","my name is Rose, and I'm cursed to always commentate the dinosaur game. help.",https://twitter.com/@ZeludeRose,https://dl.airtable.com/.attachments/d7033268acaff23250076bb18ddb2fad/c2e46138/lbBTOQvBTfv3sgSclLHA
Zentx,@DST_Zentx,he/him,,,
Zieg,,he/him,,,
Zircean,,he/him,,,
イワ,@iwa_DOA,he/him,,,
かぷえぬ,@kapuenu_twt,he/him,,,
しゃんでりけ,@syanderike,he/him,,,
とめ,@kotovf,she/her,,,
