Game-Phase,Game-Short Name,Game-Abbr,Tournament,Game,Regions Abbr,Phase,Start (PST),Start (Local),TZ-Main Timezone,Start Date (Local),Pools Stream,Finals Stream,Pools Username,Finals Username
PPC - ALL - (PC-Steam)-Full Tourney,Puyo Champions,PPC,PPC - ALL - (PC-Steam),Puyo Puyo Champions,ALL,Full Tourney,2/25/2023 10:00am,2/25/2023 10:00am,PST,02/25 Sat,https://twitch.tv/kiyobi,https://twitch.tv/kiyobi,kiyobi,kiyobi
SS7 - ALL - (Xbox Series X|S)-Full Tourney,SamSho7,SS7,SS7 - ALL - (Xbox Series X|S),Samurai Shodown,ALL,Full Tourney,2/25/2023 12:00pm,2/25/2023 12:00pm,PST,02/25 Sat,https://twitch.tv/thrustyzol,https://twitch.tv/thrustyzol,thrustyzol,thrustyzol
DBFZ - NA/EC - (PC-Steam)-Full Tourney,DBFZ,DBFZ,DBFZ - NA/EC - (PC-Steam),Dragon Ball FighterZ,NA/EC,Full Tourney,2/25/2023 1:00pm,2/25/2023 4:00pm,EST,02/25 Sat,,,,
BBCF - SA/SUD - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - SA/SUD - (PC-Steam),Blazblue Centralfiction,SA/SUD,Full Tourney,2/25/2023 2:00pm,2/25/2023 7:00pm,BRT,02/25 Sat,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,lagfighterchile,lagfighterchile
UNICLR - SA/BR - (PC-Steam)-Full Tourney,UNI,UNICLR,UNICLR - SA/BR - (PC-Steam),Under Night In-Birth Exe:Late [cl-r],SA/BR,Full Tourney,2/25/2023 3:00pm,2/25/2023 8:00pm,BRT,02/25 Sat,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
ROA - NA+LAN - -Full Tourney,Rivals,ROA,ROA - NA+LAN - ,Rivals of Aether,NA+LAN,Full Tourney,2/25/2023 4:00pm,2/25/2023 4:00pm,PST,02/25 Sat,https://www.twitch.tv/alexalchemy,https://www.twitch.tv/alexalchemy,alexalchemy,alexalchemy
BBCF - LAN - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - LAN - (PC-Steam),Blazblue Centralfiction,LAN,Full Tourney,2/25/2023 5:00pm,2/25/2023 7:00pm,CST,02/25 Sat,,,,
DBFZ - OCE - (PC-Steam)-Full Tourney,DBFZ,DBFZ,DBFZ - OCE - (PC-Steam),Dragon Ball FighterZ,OCE,Full Tourney,2/26/2023 12:00am,2/26/2023 7:00pm,AEDT,02/26 Sun,twitch.tv/FishelFGC,twitch.tv/FishelFGC,FishelFGC,FishelFGC
BBCF - CN - (PC-Steam)-Top 8,Blazblue,BBCF,BBCF - CN - (PC-Steam),Blazblue Centralfiction,CN,Top 8,2/26/2023 3:00am,2/26/2023 7:00pm,BJT,02/26 Sun,,,,
Asuka120 - EU+NA/EC - (PC)-Full Tourney,Asuka 120%,Asuka120,Asuka120 - EU+NA/EC - (PC),Asuka 120% LimitOver Burning Fest.,EU+NA/EC,Full Tourney,2/26/2023 10:00am,2/26/2023 6:00pm,UTC,02/26 Sun,https://twitch.tv/sailorvick,https://twitch.tv/sailorvick,sailorvick,sailorvick
EFZ - NA+EU - (PC-Caster)-Full Tourney,EFZ,EFZ,EFZ - NA+EU - (PC-Caster),Eternal Fighter Zero,NA+EU,Full Tourney,2/26/2023 11:00am,2/26/2023 11:00am,PST,02/26 Sun,,,,
GGACPR - SA/BR - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - SA/BR - (PC-Steam),Guilty Gear XX Accent Core Plus R,SA/BR,Full Tourney,2/26/2023 11:00am,2/26/2023 4:00pm,BRT,02/26 Sun,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
TVC - NA - (PC-Dolphin)-Full Tourney,TvC,TVC,TVC - NA - (PC-Dolphin),Tatsunoko vs. Capcom Ultimate All-Stars,NA,Full Tourney,2/26/2023 11:00am,2/26/2023 11:00am,PST,02/26 Sun,https://twitch.tv/matchstickmelee,https://twitch.tv/matchstickmelee,matchstickmelee,matchstickmelee
BBTAG - NA - (PS4)-Full Tourney,BBTAG,BBTAG,BBTAG - NA - (PS4),Blazblue Cross Tag Battle,NA,Full Tourney,2/26/2023 1:00pm,2/26/2023 1:00pm,PST,02/26 Sun,,,,
DBFZ - NA/WC - (PC-Steam)-Full Tourney,DBFZ,DBFZ,DBFZ - NA/WC - (PC-Steam),Dragon Ball FighterZ,NA/WC,Full Tourney,2/26/2023 3:00pm,2/26/2023 3:00pm,PST,02/26 Sun,https://twitch.tv/gtektv,,gtektv,gtektv
DKG - NA+SA - (PC-Fightcade)-Full Tourney,DKG,DKG,DKG - NA+SA - (PC-Fightcade),Dan-Ku-Ga,NA+SA,Full Tourney,2/26/2023 5:00pm,2/26/2023 5:00pm,PST,02/26 Sun,https://twitch.tv/tz_toast_rider,https://twitch.tv/tz_toast_rider,tz_toast_rider,tz_toast_rider
MOTW - EU - (PC-Fightcade)-Full Tourney,Garou,MOTW,MOTW - EU - (PC-Fightcade),Garou: Mark of the Wolves,EU,Full Tourney,3/3/2023 12:00pm,3/3/2023 8:00pm,UTC,03/03 Fri,,https://twitch.tv/the_italian_cowboy,,
FOS - NA+EU - (PC-Steam)-Full Tourney,FoS,FOS,FOS - NA+EU - (PC-Steam),Fight of Steel: Infinity Warrior,NA+EU,Full Tourney,3/3/2023 4:00pm,3/3/2023 4:00pm,PST,03/03 Fri,https://twitch.tv/956productions,https://twitch.tv/956productions,956productions,956productions
SSVSP - NA+SA - (PC-Fightcade)-Full Tourney,SSVSP,SSVSP,SSVSP - NA+SA - (PC-Fightcade),Samurai Shodown V Special,NA+SA,Full Tourney,3/3/2023 5:00pm,3/3/2023 5:00pm,PST,03/03 Fri,https://twitch.tv/sugar_bear44,https://twitch.tv/sugar_bear44,sugar_bear44,sugar_bear44
DNFD - SEA - (PC-Steam)-Full Tourney,DNFD,DNFD,DNFD - SEA - (PC-Steam),DNF Duel,SEA,Full Tourney,3/3/2023 8:00pm,3/4/2023 12:00pm,SGT,03/04 Sat,https://twitch.tv/airdasher_sea,,airdasher_sea,airdasher_sea
GGACPR - OCE - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - OCE - (PC-Steam),Guilty Gear XX Accent Core Plus R,OCE,Full Tourney,3/4/2023 12:00am,3/4/2023 7:00pm,AEDT,03/04 Sat,twitch.tv/Firery,twitch.tv/Firery,Firery,Firery
UFDK - ALL - (PC-Steam)-Full Tourney,Kyanta,UFDK,UFDK - ALL - (PC-Steam),Ultra Fight Da ! Kyanta 2,ALL,Full Tourney,3/4/2023 9:00am,3/4/2023 9:00am,PST,03/04 Sat,,https://twitch.tv/yfdhippo,,
GOF2 - ALL - (PC)-Full Tourney,GOF2,GOF2,GOF2 - ALL - (PC),Glove on Fight 2: Gleam of Force,ALL,Full Tourney,3/4/2023 10:00am,3/4/2023 10:00am,PST,03/04 Sat,https://twitch.tv/glamurio,https://twitch.tv/glamurio,glamurio,glamurio
GGXRD - EU - (PC-Steam)-Full Tourney,Rev 2,GGXRD,GGXRD - EU - (PC-Steam),Guilty Gear Xrd REV 2,EU,Full Tourney,3/4/2023 10:00am,3/4/2023 6:00pm,UTC,03/04 Sat,https://twitch.tv/dawn_of_revival,https://twitch.tv/dawn_of_revival,dawn_of_revival,dawn_of_revival
SOKU - NA+SA+EU - (PC-Caster)-Full Tourney,Soku,SOKU,SOKU - NA+SA+EU - (PC-Caster),Touhou 12.3 Hisoutensoku,NA+SA+EU,Full Tourney,3/4/2023 10:00am,3/4/2023 10:00am,PST,03/04 Sat,https://twitch.tv/tessiro,https://twitch.tv/tessiro,tessiro,tessiro
KLK - NA+SA - (PC-Steam)-Full Tourney,Kill la Kill,KLK,KLK - NA+SA - (PC-Steam),Kill La Kill -IF Restitched,NA+SA,Full Tourney,3/4/2023 1:00pm,3/4/2023 1:00pm,PST,03/04 Sat,https://twitch.tv/ooluchi,https://twitch.tv/ooluchi,ooluchi,ooluchi
GGST - SA/SUD - (PC-Steam)-Full Tourney,Strive,GGST,GGST - SA/SUD - (PC-Steam),Guilty Gear -STRIVE-,SA/SUD,Full Tourney,3/4/2023 2:00pm,3/4/2023 7:00pm,BRT,03/04 Sat,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,lagfighterchile,lagfighterchile
BBCF - SA/BR - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - SA/BR - (PC-Steam),Blazblue Centralfiction,SA/BR,Full Tourney,3/4/2023 3:00pm,3/4/2023 8:00pm,BRT,03/04 Sat,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
MOTW - NA - (PC-Fightcade)-Full Tourney,Garou,MOTW,MOTW - NA - (PC-Fightcade),Garou: Mark of the Wolves,NA,Full Tourney,3/4/2023 4:00pm,3/4/2023 4:00pm,PST,03/04 Sat,,,,
MBTL - LAN - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - LAN - (PC-Steam),Melty Blood: Type Lumina,LAN,Full Tourney,3/4/2023 4:00pm,3/4/2023 6:00pm,CST,03/04 Sat,https://twitch.tv/melty_lan,https://twitch.tv/melty_lan,melty_lan,melty_lan
VSAV - SA/BR - (PC-Fightcade)-Full Tourney,VSAV,VSAV,VSAV - SA/BR - (PC-Fightcade),Vampire Savior,SA/BR,Full Tourney,3/4/2023 5:00pm,3/4/2023 10:00pm,BRT,03/04 Sat,https://twitch.tv/nekopunchi,https://twitch.tv/nekopunchi,nekopunchi,nekopunchi
SDB - ALL - (PC-Fightcade)-Full Tourney,Super Dodge Ball,SDB,SDB - ALL - (PC-Fightcade),Super Dodge Ball,ALL,Full Tourney,3/4/2023 6:00pm,3/4/2023 6:00pm,PST,03/04 Sat,https://twitch.tv/chairgtables,https://twitch.tv/chairgtables,chairgtables,chairgtables
P4U2 - NA+JP - (PS4)-Full Tourney,Persona,P4U2,P4U2 - NA+JP - (PS4),Persona 4 Ultimax,NA+JP,Full Tourney,3/4/2023 7:00pm,3/4/2023 7:00pm,PST,03/04 Sat,,,,
PBO - ALL - (PC-Steam)-Full Tourney,Phantom Breaker,PBO,PBO - ALL - (PC-Steam),Phantom Breaker Omnia,ALL,Full Tourney,3/4/2023 7:00pm,3/4/2023 7:00pm,PST,03/04 Sat,,,,
MBTL - OCE - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - OCE - (PC-Steam),Melty Blood: Type Lumina,OCE,Full Tourney,3/5/2023 12:00am,3/5/2023 7:00pm,AEDT,03/05 Sun,twitch.tv/Firery,twitch.tv/Firery,Firery,Firery
MBTL - NA - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - NA - (PC-Steam),Melty Blood: Type Lumina,NA,Full Tourney,3/5/2023 11:00am,3/5/2023 11:00am,PST,03/05 Sun,https://twitch.tv/956productions,https://twitch.tv/956productions,956productions,956productions
FEXL - ALL - (PC-Steam)-Full Tourney,FEXL,FEXL,FEXL - ALL - (PC-Steam),Fighting EX Layer,ALL,Full Tourney,3/5/2023 12:00pm,3/5/2023 12:00pm,PST,03/05 Sun,https://twitch.tv/geki_cp,https://twitch.tv/geki_cp,geki_cp,geki_cp
SG - SA/BR - (PC-Steam)-Full Tourney,Skullgirls,SG,SG - SA/BR - (PC-Steam),Skullgirls: 2nd Encore+,SA/BR,Full Tourney,3/5/2023 12:00pm,3/5/2023 5:00pm,BRT,03/05 Sun,https://twitch.tv/skullgirlsbr,https://twitch.tv/skullgirlsbr,skullgirlsbr,skullgirlsbr
GGI - NA - (PC-Fightcade)-Full Tourney,Isuka,GGI,GGI - NA - (PC-Fightcade),Guilty Gear Isuka,NA,Full Tourney,3/5/2023 2:00pm,3/5/2023 2:00pm,PST,03/05 Sun,https://twitch.tv/guiltygearacprdiscord,https://twitch.tv/guiltygearacprdiscord,guiltygearacprdiscord,guiltygearacprdiscord
DINO - ALL - (PC-Fightcade)-Full Tourney,Dino Rex,DINO,DINO - ALL - (PC-Fightcade),Dino Rex,ALL,Full Tourney,3/5/2023 5:00pm,3/5/2023 5:00pm,PST,03/05 Sun,https://www.twitch.tv/alexalchemy,https://www.twitch.tv/alexalchemy,alexalchemy,alexalchemy
SG - NA - (PC-Steam)-Full Tourney,Skullgirls,SG,SG - NA - (PC-Steam),Skullgirls: 2nd Encore+,NA,Full Tourney,3/5/2023 5:00pm,3/5/2023 5:00pm,PST,03/05 Sun,,,,
