Game-Phase,Game-Short Name,Game-Abbr,Tournament,Game,Regions Abbr,Phase,Start (PST),Start (Local),TZ-Main Timezone,Start Date (Local),Pools Stream,Finals Stream,Pools Username,Finals Username
GBVS - NA/EC - (PC-Steam)-Full Tourney,Granblue,GBVS,GBVS - NA/EC - (PC-Steam),Granblue Fantasy Versus,NA/EC,Full Tourney,2/11/2023 1:00pm,2/11/2023 4:00pm,EST,02/11 Sat,https://twitch.tv/gtektv,https://twitch.tv/gtektv,gtektv,gtektv
MBAACC - SA/SUD - (PC-Caster)-Full Tourney,Melty Blood AACC,MBAACC,MBAACC - SA/SUD - (PC-Caster),Melty Blood Actress Again Current Code,SA/SUD,Full Tourney,2/11/2023 1:00pm,2/11/2023 6:00pm,BRT,02/11 Sat,https://twitch.tv/meltysud,https://twitch.tv/meltysud,meltysud,meltysud
GGST - SA/BR - (PC-Steam)-Full Tourney,Strive,GGST,GGST - SA/BR - (PC-Steam),Guilty Gear -STRIVE-,SA/BR,Full Tourney,2/11/2023 3:00pm,2/11/2023 8:00pm,BRT,02/11 Sat,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
GGXRD - SA/SUD - (PC-Steam)-Full Tourney,Rev 2,GGXRD,GGXRD - SA/SUD - (PC-Steam),Guilty Gear Xrd REV 2,SA/SUD,Full Tourney,2/11/2023 3:00pm,2/11/2023 8:00pm,BRT,02/11 Sat,https://twitch.tv/2fohmuku,https://twitch.tv/2fohmuku,2fohmuku,2fohmuku
JJBAASBR - NA - (PC-Parsec)-Full Tourney,JJBA ASBR,JJBAASBR,JJBAASBR - NA - (PC-Parsec),JoJo's Bizarre Adventure: All Star Battle R,NA,Full Tourney,2/11/2023 3:00pm,2/11/2023 3:00pm,PST,02/11 Sat,http://twitch.tv/gyarugarou,http://twitch.tv/gyarugarou,gyarugarou,gyarugarou
P4U2 - NA+EU - (PC-Steam)-Full Tourney,Persona,P4U2,P4U2 - NA+EU - (PC-Steam),Persona 4 Ultimax,NA+EU,Full Tourney,2/11/2023 3:00pm,2/11/2023 3:00pm,PST,02/11 Sat,https://twitch.tv/personafightclub,https://twitch.tv/personafightclub,personafightclub,personafightclub
VF5US - NA - (PS4)-Full Tourney,VF5,VF5US,VF5US - NA - (PS4),Virtua Fighter 5 Ultimate Showdown,NA,Full Tourney,2/11/2023 3:00pm,2/11/2023 3:00pm,PST,02/11 Sat,https://twitch.tv/harpooneer,https://twitch.tv/harpooneer,harpooneer,harpooneer
GBVS - SA/SUD - (PC-Steam)-Full Tourney,Granblue,GBVS,GBVS - SA/SUD - (PC-Steam),Granblue Fantasy Versus,SA/SUD,Full Tourney,2/11/2023 4:00pm,2/11/2023 9:00pm,BRT,02/11 Sat,https://twitch.tv/mashnmix,https://twitch.tv/mashnmix,mashnmix,mashnmix
WW7 - ALL - (PC-Fightcade)-Full Tourney,Waku,WW7,WW7 - ALL - (PC-Fightcade),Waku Waku 7,ALL,Full Tourney,2/11/2023 5:00pm,2/11/2023 5:00pm,PST,02/11 Sat,,,,
PBO - NA - (PC-Steam)-Full Tourney,Phantom Breaker,PBO,PBO - NA - (PC-Steam),Phantom Breaker Omnia,NA,Full Tourney,2/11/2023 6:00pm,2/11/2023 6:00pm,PST,02/11 Sat,,,,
PJ - ALL - (PC-Fightcade)-Full Tourney,PJ,PJ,PJ - ALL - (PC-Fightcade),Project Justice,ALL,Full Tourney,2/11/2023 6:00pm,2/11/2023 6:00pm,PST,02/11 Sat,https://twitch.tv/chairgtables,https://twitch.tv/chairgtables,chairgtables,chairgtables
